name_elections;amco;name_hdng
Domburg;10236;DOMBURG
Eede;11128;EEDE
Gapinge;10306;GAPINGE
Graauw;10312;GRAAUW EN LANGENDAM
Grijpskerke;10801;GRIJPSKERKE
Groede;11312;GROEDE
Heille;11309;HEILLE
Hengstdijk;10636;HENGSTDIJK
Hoek;10038;HOEK
Hoofdplaat;10147;HOOFDPLAAT
Hulst;11408;HULST
Jansteen (St.);10864;SINT JANSTEEN
Kleverskerke;10519;KLEVERSKERKE
Koewacht;10892;KOEWACHT
Koudekerke;11428;KOUDEKERKE
Annaland (St.);11200;SINT-ANNALAND
"Bommel 



Bommel (Den)";10293;DEN BOMMEL
Bommenede;10785;BOMMENEDE
Brouwershaven;10030;BROUWERSHAVEN
Bruinisse;11291;BRUINISSE
Burgh;11000;BURGH
Colijnsplaat;10121;COLIJNSPLAAT
Dreischor;10885;DREISCHOR
Duivendijke;10335;DUIVENDIJKE
Elkerzee;10184;ELKERZEE
Ellemeet;10102;ELLEMEET
Haamstede;10701;HAAMSTEDE
Kats;10919;KATS
Kerkwerve;10837;KERKWERVE
Kortgene;10250;KORTGENE
Maartensdijk (St.);10691;MAARTENSDIJK
Nieuwerkerk;10911;NIEUWERKERK Z
Noordgouwe;11107;NOORDGOUWE
Noordwelle;10055;NOORDWELLE
's Gravenpolder;11059;'S-GRAVENPOLDER
's Heer Abtskerke;10337;'S-HEER ABTSKERKE
's Heer Arendskerke;10875;'S-HEER ARENDSKERKE
's Heer Hendrikskinderen;10117;'S-HEER HENDRIKSKINDEREN
's Heerenhoek;10721;'S-HEERENHOEK
Baarland;10634;BAARLAND
Borssele;10043;BORSELE
Boschkappelle;10605;BOSCHKAPELLE
Driewegen;11115;DRIEWEGEN
Ellewoutsdijk;11300;ELLEWOUTSDIJK
Fort Bath;10623;BATH
Goes;10674;GOES
Heinkenszand;10413;HEINKENSZAND
Hoedekenskerke;11072;HOEDEKENSKERKE
Hontenisse;11123;HONTENISSE
Kapelle;11223;KAPELLE
Kattendijke;11218;KATTENDIJKE
Kruis (St.);10235;SINT KRUIS
Neuzen;NA;NA
Nieuwvliet;11165;NIEUWVLIET
Oostburg;10782;OOSTBURG
Overslag;10730;OVERSLAG
Philippine;10486;PHILIPPINE
Retranchement;10400;RETRANCHEMENT
Sas van Gent;11405;SAS VAN GENT
Schoondijke;10189;SCHOONDIJKE
Sluis;10895;SLUIS
St. Anna ter Muiden;11012;SINT ANNA TER MUIDEN
Waterlandkerkje;10352;WATERLANDKERKJE
Westdorpe;10915;WESTDORPE
Yzendijke;10688;IJZENDIJKE
Zaamslag;11173;ZAAMSLAG
Zuiddorpe;11087;ZUIDDORPE
Zuidzande;10437;ZUIDZANDE
Bergen op Zoom;11037;BERGEN OP ZOOM
Dinteloord;11193;DINTELOORD EN PRINSENLAND
Halsteren;10387;HALSTEREN
Hoeven;10065;HOEVEN
Huijbergen;10466;HUIJBERGEN
Nieuw-Vossemeer;10401;NIEUW VOSSEMEER
Ossendrecht;10929;OSSENDRECHT
Oud- en Nieuw-Gastel;11363;OUD EN NIEUW GASTEL
Putte;10099;PUTTE
Roosendaal;10407;ROOSENDAAL EN NISPEN
Rucphen;11152;RUCPHEN
Steenbergen;10731;STEENBERGEN
Woensdrecht;10602;WOENSDRECHT
Wouw;10808;WOUW
Baarle-Nassau;10060;BAARLE NASSAU
Breda;10154;BREDA
Chaam;11433;CHAAM
Etten en Leur;10750;ETTEN LEUR
Fijnaart;10206;FIJNAART EN HEIJNINGEN
Ginneken;10406;GINNEKEN EN BAVEL
Klundert;10656;KLUNDERT
Oudenbosch;10397;OUDENBOSCH
Prinsenhage;10762;PRINCENHAGE
Rijsbergen;10866;RIJSBERGEN
Standdaardbuiten;11212;STANDDAARBUITEN
Terheijden;10905;TERHEIJDEN
's-Gravenmoer;10469;'S GRAVENMOER
Dongen;11412;DONGEN
Geertruidenberg;10101;GEERTRUIDENBERG
Made;10258;MADE EN DRIMMELEN
Oosterhout;11280;OOSTERHOUT
Raamsdonk;11391;RAAMSDONK
Standdaarbuiten;11212;STANDDAARBUITEN
Willemstad;10827;WILLEMSTAD
Zevenbergen;10046;ZEVENBERGEN
Zwaluwe (Hooge- en Lage-);11318;HOOGE EN LAGE ZWALUWE
Besoijen;10056;BESOIJEN
Bladel;11006;BLADEL EN NETERSEL
Boxtel;10083;BOXTEL
Capelle;11233;CAPELLE
Cromvoirt;10053;CROMVOIRT
Diessen;11185;DIESSEN
Esch;10709;ESCH
Gilze;11375;GILZE EN RIJEN
Goirle;10971;GOIRLE
Haaren;11155;HAAREN
Helvoirt;10389;HELVOIRT
Hilvarenbeek;11297;HILVARENBEEK
Hooge- en Lage-Mierde;10476;HOOGE EN LAGE MIERDE
Hoogeloon;10657;HOOGELOON, HAPERT EN CASTEREN
Liempde;10390;LIEMPDE
Loon op Zand;11259;LOON OP ZAND
Moergestel;11191;MOERGESTEL
Aalst;11423;AALST
Aarle-Rixtel;10757;AARLE RIXTEL
Asten;10478;ASTEN
Bakel;11125;BRAKEL
Beek en Donk;10173;BEEK EN DONK
Bergeyk;11160;BERGEYK
Best;10442;BEST
Boekel;10432;BOEKEL
Borkel;10432;BOEKEL
Budel;10219;BUDEL
Deurne;10379;DEURNE
Dommelen;10424;DOMMELEN
Duizel;11005;DUIZEL EN STEENSEL
Eersel;10741;EERSEL
Eindhoven;11298;EINDHOVEN
Erp;10385;ERP
Geldrop;10529;GELDROP
Gemert;10277;GEMERT
Gestel;11269;GESTEL EN BLAARTHEM
Heeze;10462;HEEZE
Helmond;10932;HELMOND
Leende;11017;LEENDE
Lierop;11279;LIEROP
Lieshout;10637;LIESHOUT
Maarheeze;11143;MAARHEEZE
Mierlo;10215;MIERLO
Nunen;10761;NUENEN,GERWEN EN NEDERWETTEN
Soerendonk;10047;SOERENDONK, STERKSEL EN GASTEL
Someren;10203;SOMEREN
Stiphout;11386;STIPHOUT
Tongelre;11240;TONGELRE
Veghel;10985;VEGHEL
Vlierden;10268;VLIERDEN
Waalre;10959;WAALRE
Zes Gehuchten;10329;ZESGEHUCHTEN
Ambij;10922;AMBIJ
Beek;10604;LEEK
Bemelen;10878;BEMELEN
Berg en Terblijt;10796;BERG EN TERBLIJT
Bocholtz;10986;BOCHOLTZ
Borgharen;11334;BORGHAREN
Brunssum;10533;BRUNSSUM
Bunde;10831;BUNDE
Cadier en Keer;11447;CADIER EN KEER
Eijgelshoven;10960;EYGELSHOVEN
Eijsden;10314;EIJSDEN
Elsloo;11187;ELSLOO
Geertruid (St.);10288;SINT GEERTRUID
Geulle;10530;GEULLE
Gronsveld;10323;GRONSVELD
Gulpen;11032;GULPEN
Heer;11407;HEER
Heerlen;10902;HEERLEN
Hoensbroek;11177;HOENSBROEK
Houthem;11111;HOUTHEM L
Hulsberg;11216;HULSBERG
Itteren;10458;ITTEREN
Kerkrade;10313;KERKRADE
Klimmen;10977;KLIMMEN
Maastricht;10182;MAASTRICHT
Amstenrade;10062;AMSTENRADE
Bingelrade;10967;BINGELRADE
Born;10927;BORN
Broeksittard;10655;BROEKSITTARD
Echt;10941;ECHT
Geleen;10048;GELEEN
Grevenbicht;10624;GREVENBICHT
Jabeek;10256;JABEEK
Limbricht;11124;LIMBRICHT
Maasbracht;10964;MAASBRACHT
Merkelbeek;10763;MERKELBEEK
Montfort;10266;MONTFORT
Munstergeleen;10273;MUNSTERGELEEN
Nieuwenhagen;10088;NIEUWENHAGEN
Nieuwstad;11140;NIEUWSTADT
Margraten;11243;MARGRATEN
Mheer;10538;MHEER
Noorbeek;10283;NOORBEEK
Nuth;10104;NUTH
Oud-Valkenburg;10868;OUD-VALKENBURG
Rimburg;10020;RIMBURG
Schaesberg;11335;SCHAESBERG
Schimmert;11076;SCHIMMERT
Schin op Geulle;10780;SCHIN OP GEUL
Simpelveld;10515;SIMPELVELD
Slenaken;11274;SLENAKEN
Strucht;11034;STRUCHT
Ubach over Worms;10146;UBACH OVER WORMS
Vaals;10007;VAALS
Voerendaal;11341;VOERENDAAL
Wijlre;10131;WIJLRE
Wijnandsrade;10992;WIJNANDSRADE
Wittem;11371;WITTEM
Baexem;11255;BAEXEM
Beegden;11089;BEEGDEN
Beesel;10195;BEESEL
Belfeld;10292;BELFELD
Buggenum;10857;BUGGENUM
Grathem;11008;GRATHEM
Haelen;10321;HAELEN
Heel en Panheel;11208;HEEL EN PANHEEL
Heijthuizen;10840;HEYTHUYSEN
Helden;10205;HELDEN
Herten;10138;HERTEN
Horn;11176;HORN
Hunsel;10784;HUNSEL
Ittervoort;10190;ITTERVOORT
Kessel;10890;KESSEL
Linne;10990;LINNE
Arcen en Velden;10202;ARCEN EN VELDEN
Broekhuizen;10856;BROEKHUIZEN
Gennep;10542;GENNEP
Grubbenvorst;10176;GRUBBENVORST
Horst;11108;HORST
Maasbree;11352;MAASBREE
Maashees;10532;MAASHEES EN OVERLOON
Meerlo;11416;MEERLO
Mook en Middelaar;10271;MOOK EN MIDDELAAR
Oploo;10787;ANLOO
Ottersum;10862;OTTERSUM
Sambeek;10339;SAMBEEK
Sevenum;10045;SEVENUM
Tegelen;11333;TEGELEN
Venlo;10477;VENLO
Venraij;11222;VENRAY
Vierlingsbeek;10066;VIERLINGSBEEK
Wanssum;10991;WANSSUM
Alem;10495;ALEM, MAREN EN KESSEL
Beers;11410;BEERS
Berghem;10733;BERGHEM
Beugen;10252;BEUGEN EN RIJKEVOORT
Boxmeer;11227;BOXMEER
Cuijk;10023;CUIJK EN ST AGATHA
Deursen;10209;DEURSEN EN DENNENBURG
Dieden;11138;DIEDEN, DEMEN EN LANGEL
Escharen;10299;ESCHAREN
Gassel;10705;GASSEL
Geffen;10370;GEFFEN
Grave;10165;GRAVE
Haps;11283;HAPS
Heesch;10149;HEESCH
Herpen;11262;HERPEN
Huisseling;10049;HUISSELING EN NEERLOON
Linden;11305;LINDEN
Lith;11219;LITH
Lithoijen;10024;LITHOIJEN
Megen;10988;MEGEN,HAREN EN MACHAREN
Mill;10535;MILL EN SINT HUBERT
Nistelrode;10094;NISTELRODE
Oeffelt;10360;OEFFELT
Oijen;10869;OIJEN EN TEEFFELEN
Baardwijk;10006;BAARDWIJK
Berlicum;10362;BERLICUM
Bokhoven;11083;BOKHOVEN
Den Bosch;10054;'S HERTOGENBOSCH
Den Dungen;10491;DEN DUNGEN
Dinther;10690;DINTHER
Drunen;10428;DRUNEN
Empel;10175;TEMPEL
Engelen;10322;ENGELEN
Hedikhuizen;11130;HEDIKHUIZEN
Heeswijk;11229;HEESWIJK
Herpt;10845;HERPT
Heusden;10307;HEUSDEN
Meeuwen;10216;MEEUWEN
Nieuwkuijk;11278;NIEUWKUYK
Oudheusden;10812;OUDHEUSDEN
Rijswijk;11133;RIJSWIJK
Sprang;10659;SPRANG
Veen;10015;VEEN
Amsterdam;11150;AMSTERDAM
Rotterdam;10345;ROTTERDAM
's-Gravenzande;10640;'S GRAVENZANDE
Den Haag;11434;'S GRAVENHAGE
Loosduinen;10997;LOOSDUINEN
Monster;10019;MONSTER
Veur;10366;VEUR
Voorburg;11103;VOORBURG
Wassenaar;10164;WASSENAAR
Wanroij;10265;WANROIJ
Schoonebeek;10064;SCHOONEBEEK
Westerbork;11095;WESTERBORK
Smilde;11033;SMILDE
Vledder;11120;VLEDDER
Wijchen;10723;WIJCHEN
Zaltbommel;10557;ZALTBOMMEL
Zuilichem;11036;ZUILINCHEM
Langbroek;11413;LANGBROEK
Lopik;10333;LOPIK
Montfoort;10033;MONTFOORT
Polsbroek;10993;POLSBROEK
Rijsenburg;10613;RIJSENBURG
Schalkwijk;10378;SCHALKWIJK
Snelrewaard;10802;SNELREWAARD
Tull en 't Waal;11022;TULL EN 'T WAAL
Vreeswijk;10441;VREESWIJK
Werkhoven;11299;WERKHOVEN
Wijk bij Duurstede;10760;WIJK BIJ DUURSTEDE U
Willeskop;10758;WILLESKOP
Willige Langerak;10368;WILLIGE LANGERAK
Ysselstein;10152;IJSSELSTEIN
Leersum;11142;LEERSUM
Renswoude;10269;RENSWOUDE
Rhenen;10309;RHENEN
Veenendaal;11052;VEENENDAAL
Kamerik;10554;KAMERIK
Mijdrecht;11379;MIJDRECHT
Nieuwkoop;10728;NIEUWKOOP
Ruwiel;10526;RUWIEL
Tienhoven;10706;TIENHOVEN
Veldhuizen;10713;VELDHUIZEN
Vinkeveen;11048;VINKEVEEN EN WAVERVEEN
Vleuten;10658;VLEUTEN
Vreeland;10898;VREELAND
Wilnis;10365;WILNIS
Zegveld;10949;ZEGVELD
Zevenhoven;11317;ZEVENHOVEN
Zuilen;10059;ZUILEN
Medemblik;11215;MEDEMBLIK
Midwoud;10924;MIDWOUD
Nibbixwoud;10091;NIBBIXWOUD
Obdam;11338;OBDAM
Opmeer;10609;OPMEER
Opperdoes;10523;OPPERDOES
Schellinkhout;10772;SCHELLINKHOUT
Sijbekarspel;11167;SIJBEKARSPEL
Spanbroek;10063;SPANBROEK
Twisk;10371;TWISK
Urk;10783;URK
Venhuizen;10433;VENHUIZEN
Wervershoof;11270;WERVERSHOOF
Westwoud;11101;WESTWOUD
Wijdenes;10631;WIJDENES
Winkel;10923;WINKEL
Wognum;10818;WOGNUM
Anna Paulowna;10344;ANNA PAULOWNA
Petten;11057;PETTEN
Terschelling;11210;TERSCHELLING
Texel;10237;TEXEL
Vlieland;10211;VLIELAND
Wieringen;11277;WIERINGEN
Zijpe (De);10004;ZIJPE
Velsen;10620;VELSEN
Wijk aan Zee en Duin;11366;WIJK AAN ZEE EN DUIN NH
Zandvoort;10910;ZANDVOORT
Voorschoten;10537;VOORSCHOTEN
Zoeterwoude;11074;ZOETERWOUDE
Lange Ruige Weide;10900;LANGE RUIGE WEIDE
Oudewater;10188;OUDEWATER
Papekop;11244;PAPEKOP
Reeuwijk;10485;REEUWIJK
Rietveld;10828;RIETVELD
Schoonhoven;10980;SCHOONHOVEN
Stolwijk;11250;STOLWIJK
Vlist;11174;VLIST
Waarder;10082;WAARDE
Woerden;10974;WOERDEN
's Gravenzande;10640;'S GRAVENZANDE
Naaldwijk;11418;NAALDWIJK
Nootdorp;10601;NOOTDORP
Schipluiden;10130;SCHIPLUIDEN
Stompwijk;10742;STOMPWIJK
Wateringen;11329;WATERINGEN
Zegwaard;10185;ZEGWAART
Zoetermeer;10766;ZOETERMEER
Langerak;11127;LANGERAK
Leerbroek;10465;LEERBROEK
Leerdam;10685;LEERDAM
Lekkerland (Nieuw-);10547;NIEUW LEKKERLAND
Lexmond;10930;LEXMOND
Meerkerk;10618;MEERKERK
Nieuwpoort;10748;NIEUWPOORT
Ottoland;10097;OTTOLAND
Peursum;10391;PEURSUM
Schoonrewoerd;10214;SCHOONREWOERD
Sliedrecht;11331;SLIEDRECHT
Streefkerk;11105;STREEFKERK
Vianen;10887;VIANEN
Wijngaarden;10263;WIJNGAARDEN
Borsselen;10043;BORSELE
Krabbendijke;11038;KRABBENDIJKE
Kruiningen;10077;KRUININGEN
Nisse;11086;NISSE
Ossenisse;10841;OSSENISSE
Oudelande;11139;OUDELANDE
Ovezande;11422;OVEZANDE
Rilland-Bath;10479;RILLAND-BATH
Schore;10544;SCHORE
Stoppeldijk;10100;STOPPELDIJK
Waarde;10082;WAARDE
Yerseke;11247;YERSEKE
Teteringen;10677;TETERINGEN
Zundert;11192;ZUNDERT
Udenhout;11268;UDENHOUT
Vlijmen;11293;VLIJMEN
Vrijhoeve-Capelle;10870;VRIJHOEVE-CAPELLE
Waalwijk;11359;WAALWIJK
Waspik;10402;WASPIK
Mesch;11070;MESCH
Rijckholt;10824;RIJCKHOLT
Meijel;10925;MEIJEL
Nederweert;10681;NEDERWEERT
Neer;10682;NEER
Neeritter;11001;NEERITTER
Nunhem;10736;NUNHEM L
Roggel;10505;ROGGEL
Stramproij;11186;STRAMPROY
Weert;11081;WEERT
Michielsgestel (St.);10496;SINT MICHIELSGESTEL
Oedenrode (St.);10399;SINT OEDENRODE
Schijndel;11178;SCHIJNDEL
Son;10549;SON EN BREUGEL
Uden;11141;UDEN
Zeeland;10759;ZEELAND
Wijk A-K, S nrs.167 en verder;NA;NA
Wijk L-R, S nrs. 1-66, T-W;NA;NA
Haren;11058;HAREN GR
Uithuizen;11137;UITHUIZEN
Uithuizermeeden;10246;UITHUIZERMEEDEN
Vries;10630;VRIES
Zuidlaren;10002;ZUIDLAREN
Ubbergen;10408;UBBERGEN
Waardenburg;10238;WAARDENBURG
Wadenoijen;10201;WADENOIJEN
Zoelen;10897;ZOELEN
Portengen;10016;PORTENGEN
Rijnauwen;10051;RHIJNAUWEN
Schonauwen;11098;SCHONAUWEN
Utrecht;10722;UTRECHT
Westbroek;10145;WESTBROEK
Wulverhorst;10817;WULVERHORST
Zeist;10324;ZEIST
Hoogland;10545;HOOGLAND
Leusden;10978;LEUSDEN
Maarn;10392;MAARN
Soest;11021;SOEST
Sterkenburg;10697;STERKENBURG
Stoutenburg;10438;STOUTENBURG
Oudhuizen;11171;OUDHUIZEN
Polsbroek (Noord);10993;NOORD-POLSBROEK
Polsbroek (Zuid);10229;ZUID POLSBROEK
Teckop;10499;TECKOP
Schagen;10511;SCHAGEN
St. Maarten;10740;SINT MAARTEN
St. Pancras;10513;SINT-PANCRAS
Warmenhuizen;10221;WARMENHUIZEN
Wieringerwaard;11164;WIERINGERWAARD
Wimmenum;10725;WIMMENUM
Zuid-Scharwoude;10159;ZUID-SCHARWOUDE
Oudendijk;11090;OUDENDIJK
Schardam;10414;SCHARDAM
Scharwoude;11254;SCHARWOUDE
Zuid-Schalkwijk;11394;ZUIDSCHALKWIJK
Krimpen aan de Lek;10617;KRIMPEN AAN DE LEK
Krimpen aan den Yssel;10859;KRIMPEN AAN DEN IJSSEL
Lekkerkerk;10050;LEKKERKERK
Middelburg;10122;MIDDELBURG
Moordrecht;10120;MOORDRECHT
Ouderkerk aan den Yssel;10095;OUDERKERK AAN DEN IJSSEL
Oukoop;11310;OUKOOP
Heukelom;11308;HEUKELUM
Hoogblokland;11040;HOOGBLOKLAND
Hoornaar;10516;HOORNAAR
Kedichem;10280;KEDICHEM
Laagblokland;10351;LAAGBLOKLAND
Molenaarsgraaf;10166;MOLENAARSGRAAF
Neder-Slingeland;10693;NEDERSLINGELANDT
Noordeloos;10296;NOORDELOOS
Schelluinen;11399;SCHELLUINEN
Spijk;11397;SPIJK
Mijl;11360;DE MIJL
Papendrecht;10427;PAPENDRECHT
Piershil;10179;PIERSHIL
Sandelingen-Ambacht;11328;SANDELINGEN-AMBACHT
Stormpolder;10108;STORMPOLDER
Pijnacker;10031;PIJNACKER
Rockanje;10464;ROCKANJE
Rozenburg;11314;ROZENBURG
Spijkenisse;10735;SPIJKENISSE
St. Maartensregt;10112;SINT MAARTENSREGT
Struiten (Oud- en Nieuw-);10347;OUDE EN NIEUWE STRUITEN
Vierpolders;11056;VIERPOLDERS
Vrijenban;10853;VRIJENBAN
Strijen;10558;STRIJEN
Strijensas;11429;STRIJENSAS
Westmaas;10695;WESTMAAS
Ysselmonde;11357;IJSSELMONDE
Zwijndrecht;10468;ZWIJNDRECHT
Roxenisse;11054;ROXENISSE
Simonshaven;10626;SCHUDDEBEURS EN SIMONSHAVEN
Sommelsdijk;11097;SOMMELSDIJK
Stad aan 't Haringvliet;11239;STAD AAN 'T HARINGVLIET
Stellendam;10087;STELLENDAM
Tonge (Nieuwe-);10502;NIEUWE TONGE
Tonge (Oude-);10714;OUDE-TONGE
Zuidland;10316;ZUIDLAND
Zwartewaal;10703;ZWARTEWAAL
Laurens (St.);10106;SINT LAURENS
Meliskerke;11221;MELISKERKE
Nieuw- en St. Joosland;11340;NIEUW EN SINT JOOSLAND
Oost- en West-Souburg;11396;OOST- EN WEST-SOUBURG
Oostkapelle;10720;OOSTKAPELLE
Ritthem;10652;RITTHEM
Serooskerke;11014;SEROOSKERKE (S)
Veere;10369;VEERE
Vlissingen;10270;VLISSINGEN
Vrouwenpolder;10635;VROUWENPOLDER
Oosterland;11237;OOSTERLAND
Oud-Vossemeer;10134;OUD-VOSSEMEER
Ouwerkerk;10095;OUDERKERK
Philipsland (St.);10394;SINT PHILIPSLAND
Poortvliet;11181;POORTVLIET
Renesse;10412;RENESSE
Scherpenisse;10375;SCHERPENISSE
Stavenisse;10619;STAVENISSE
Tholen;10376;THOLEN
Wissekerke;10243;WISSENKERKE
Zierikzee;10843;ZIERIKZEE
Zonnemaire;10040;ZONNEMAIRE
Kloetinge;10155;KLOETINGE
Rilland;10479;RILLAND
St. Jansteen;10864;SINT JANSTEEN
Wemeldinge;11145;WEMELDINGE
Wolphaartsdijk;10543;WOLPHAARTSDIJK
Oirschot;10225;OIRSCHOT
Oisterwijk;10103;OISTERWIJK
Oost-, West- en Middelbeers;10220;OOST-, WEST- EN MIDDELBEERS
Reusel;10162;REUSEL
Tilburg;10792;TILBURG
Luijksgestel;10011;LUYKSGESTEL
Oerle;10119;OERLE
Riethoven;10455;RIETHOVEN
Stratum;10172;STRATUM
Strijp;10521;STRIJP
Valkenswaard;11031;VALKENSWAARD
Meerssen;10494;MEERSSEN
Oud-Vroenhoven;11348;OUD-VROENHOVEN
Pieter (St.);10137;SINT PIETER
Schinveld;10492;SCHINVELD
Spanbeek;10552;SPAUBEEK
Stein;11319;STEIN
Ulestraten;11220;ULESTRATEN
Obbicht en Papenhoven;10388;OBBICHT EN PAPENHOVEN
Ohe en Laak;10420;OHE EN LAAK
Oirsbeek;10504;OIRSBEEK
Roosteren;10954;ROOSTEREN
Schinnen;10132;SCHINNEN
Sittard;11230;SITTARD
Spaubeek;10552;SPAUBEEK
Stevensweert;11203;STEVENSWEERT
Susteren;10457;SUSTEREN
Urmond;10700;URMOND
Maasniel;11261;MAASNIEL
Melick en Herkenbosch;10196;MELICK EN HERKENBOSCH
OdiliÃ«nberg (St.);10227;HILLEGERSBERG
Posterholt;10456;POSTERHOLT
Roermond;11313;ROERMOND
Oss;10834;OSS
Ravenstein;10805;RAVENSTEIN
Reek;10671;REEK
Schaijk;10276;SCHAIJK
Velp;10170;VELP NB
Nuland;10118;NULAND
Rosmalen;10970;ROSMALEN
Vught;11224;VUGHT
Werkendam;10078;WERKENDAM
Wijk;10471;EWIJK
Woudrichem;10282;WOUDRICHEM
Woudenberg;11398;WOUDENBERG
Zevender;11151;ZEVENDER
Zwaag;10218;ZWAAG
Sluipwijk;11402;SLUIPWIJK
Waddinxveen;10081;WADDINXVEEN
Waddinxveen (Noord);11342;NOORD-WADDINXVEEN
Waddinxveen (Zuid);10081;ZUID-WADDINXVEEN
Wieldrecht;11353;WIELDRECHT
Westkapelle;10931;WESTKAPELLE
Zoutelande;10779;ZOUTELANDE
Veldhoven;10071;VELDHOVEN
Vessem;10127;WESSEM
Westerhoven;11041;WESTERHOVEN
Woensel;10894;WOENSEL
Zeelst;10096;ZEELST
Swalmen;10474;SWALMEN
Thorn;11195;THORN
Vlodrop;10644;VLODROP
Wessem;10127;WESSEM
