politician;vote;law;house;date
van den Berch van Heemstede;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
de Savornin Lohman;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Schimmelpenninck;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Bastert;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Mackay;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Karnebeek;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Vermeulen;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van den Heuvel;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Mutsaers;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
van Dedem;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
W.K.F.P. van Bylandt;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Everts;0;Ongevallenwet 1901;Tweede Kamer;1899-12-13
Jannink;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van den Tempel;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Duys;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Fock;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Beaufort;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Jong;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
J. ter Laan;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Schaper;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Albarda;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
ter Spill;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Otto;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Nierstrasz;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Doorn;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Roodenburg;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Tydeman;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Kleerekoper;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Hubrecht;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Troelstra;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Muralt;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Eerdmans;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Smeenge;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Lieftinck;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Hugenkoltz;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
J.C. Jansen;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Foreest;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Knobel;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Leeuwen;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Heeres;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Gerkard;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Visser van IJzendoorn;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
K. ter Laan;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Patijn;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Helsdingen;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Eland;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Drion;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Limburg;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Schim van der Loeff;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Boissevain;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Hamel;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Koster;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Marchant;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Meester;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Teenstra;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Roodkuyzen;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Rink;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Ketelaar;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Mendels;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Sannes;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Raalte;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Spiekman;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Goeman Borgesius;1;Staatspensioen 1916;Tweede Kamer;1916-05-18
Schimmelpenninck;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Monté ver Loren;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Geer;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Savornin Lokman;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
van der Molen;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
van de Velde;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Duymaer van Twist;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Snoeck Henkemans;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Rutgers;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Üosterbaan;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Wijkerslootk de Weerdesteyn;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Beumer;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Arts;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Bogaardt;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Scheurer;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Duynstee;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Fruytier;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Van Veen;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Wijnbergen;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
de Visser;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Idsinga;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
F.I.J. Janssen;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Beckers;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
van Wichen;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Aalberse;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Bichon van Ijsselmonde;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
van der Voort van Zijp;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Koolen;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Aukerman;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Bongaerts;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Kolkman;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Gerretson;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Ruys de Beerenbrouck;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Brummelkamp;0;Staatspensioen 1916;Tweede Kamer;1916-05-18
Jansen;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Hamel;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Drucker;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Roodhuyzen;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Helsdingen;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Foreest;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Verhey;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Vorsterman van Oijen;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Beaufort;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Eland;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Schaper;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Duijs;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Troelstra;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Teenstra;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Jannink;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
ter Laan;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Treub;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Meester;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Limburg;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Smeenge;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Smidt;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Karnebeek;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Dolk;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Rink;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Jongh;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Vliegen;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Lieftinck;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Marchant;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Kanter;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Klerk;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Bos;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Patijn;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Goeman Borgesius;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Hugenholtz;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Tydeman;1;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Arts;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Bolsius;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Ruys de Beerenbrouck;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Best;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Scheurer;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Duynstee;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Lennep;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Passtoors;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Duymaer van Twist;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Vuuren;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Snoeck Henkemans;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Vlijmen;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Rutgers;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Bylandt;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Geer;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Oosterbaan;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Elhorst;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van de Velde;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Koolen;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van der Molen;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Vliet;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Wijkerslooth de Weerdesteyn;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Ram;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Visser;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Aalberse;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Nolens;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Savornin Lohman;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Brummelkamp;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Dedem;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Heemskerk;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Monté verLoren;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Hoogstraten;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Veen;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Wassenaer van Catwijck;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Asch van Wijck;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Lynden van Sandenburg;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van der Borch van Verwolde;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
J.W.J.C.M. van Nispen tot Sevenaer;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Bogaardt;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Fleskens;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van den Berch van Heemstede;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
de Vlugt;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Pollema;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Sasse van Ysselt;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Schimmelpenninck;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van der Voort van Zijp;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Ankerman;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Middelberg;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
F.I.J. Janssen;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Loeff;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Beckers;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Wichen;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
van Wijnbergen;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
O.F.A.M. van Nispen tot Sevenaer;0;Wet Ouderdom Invaliditeit 1913;Tweede Kamer;1913-03-07
Merckelbach;1;Woningwet 1901;Tweede Kamer;1901-04-19
de Bieberstein Rogalla Zawadsky;1;Woningwet 1901;Tweede Kamer;1901-04-19
van de Velde;1;Woningwet 1901;Tweede Kamer;1901-04-19
Bolsius;1;Woningwet 1901;Tweede Kamer;1901-04-19
van Dedem;1;Woningwet 1901;Tweede Kamer;1901-04-19
de Boer;1;Woningwet 1901;Tweede Kamer;1901-04-19
Schaper;1;Woningwet 1901;Tweede Kamer;1901-04-19
van der Borch van Verwolde;1;Woningwet 1901;Tweede Kamer;1901-04-19
van Kol;1;Woningwet 1901;Tweede Kamer;1901-04-19
Zijlma;1;Woningwet 1901;Tweede Kamer;1901-04-19
Meesters;1;Woningwet 1901;Tweede Kamer;1901-04-19
Rink;1;Woningwet 1901;Tweede Kamer;1901-04-19
Knijff;1;Woningwet 1901;Tweede Kamer;1901-04-19
Drucker;1;Woningwet 1901;Tweede Kamer;1901-04-19
Lieftinck;1;Woningwet 1901;Tweede Kamer;1901-04-19
Schaafsma;1;Woningwet 1901;Tweede Kamer;1901-04-19
Jansen;1;Woningwet 1901;Tweede Kamer;1901-04-19
de Klerk;1;Woningwet 1901;Tweede Kamer;1901-04-19
van Vlijmen;1;Woningwet 1901;Tweede Kamer;1901-04-19
de Ras;1;Woningwet 1901;Tweede Kamer;1901-04-19
Smeenge;1;Woningwet 1901;Tweede Kamer;1901-04-19
de Ram;1;Woningwet 1901;Tweede Kamer;1901-04-19
Nolting;1;Woningwet 1901;Tweede Kamer;1901-04-19
Ketelaar;1;Woningwet 1901;Tweede Kamer;1901-04-19
Mees;1;Woningwet 1901;Tweede Kamer;1901-04-19
de Visser;1;Woningwet 1901;Tweede Kamer;1901-04-19
Roessingh;1;Woningwet 1901;Tweede Kamer;1901-04-19
Pijnappel;1;Woningwet 1901;Tweede Kamer;1901-04-19
Geertsema;1;Woningwet 1901;Tweede Kamer;1901-04-19
Schepel;1;Woningwet 1901;Tweede Kamer;1901-04-19
van Alphen;1;Woningwet 1901;Tweede Kamer;1901-04-19
Ferf;1;Woningwet 1901;Tweede Kamer;1901-04-19
van Deinse;1;Woningwet 1901;Tweede Kamer;1901-04-19
den Hertog;1;Woningwet 1901;Tweede Kamer;1901-04-19
Pijnacker Hordijk;1;Woningwet 1901;Tweede Kamer;1901-04-19
Travaglino;1;Woningwet 1901;Tweede Kamer;1901-04-19
Nolens;1;Woningwet 1901;Tweede Kamer;1901-04-19
Goekoop;1;Woningwet 1901;Tweede Kamer;1901-04-19
Conrad;1;Woningwet 1901;Tweede Kamer;1901-04-19
Michiels van Verduynen;1;Woningwet 1901;Tweede Kamer;1901-04-19
Vermeulen;1;Woningwet 1901;Tweede Kamer;1901-04-19
Verhey;1;Woningwet 1901;Tweede Kamer;1901-04-19
C.J.E. van Bylandt;1;Woningwet 1901;Tweede Kamer;1901-04-19
Dobbelmann;1;Woningwet 1901;Tweede Kamer;1901-04-19
van Gilse;1;Woningwet 1901;Tweede Kamer;1901-04-19
van Gijn;1;Woningwet 1901;Tweede Kamer;1901-04-19
S. baron van Heemstra;1;Woningwet 1901;Tweede Kamer;1901-04-19
Goeman Borgesius;1;Woningwet 1901;Tweede Kamer;1901-04-19
van Kerkwijk;1;Woningwet 1901;Tweede Kamer;1901-04-19
Lely;1;Woningwet 1901;Tweede Kamer;1901-04-19
van den Berch van Heemstede;1;Woningwet 1901;Tweede Kamer;1901-04-19
Pastoors;1;Woningwet 1901;Tweede Kamer;1901-04-19
Marchant;1;Woningwet 1901;Tweede Kamer;1901-04-19
Brummelkamp;1;Woningwet 1901;Tweede Kamer;1901-04-19
A. Kerdijk;1;Woningwet 1901;Tweede Kamer;1901-04-19
van Karnebeek;1;Woningwet 1901;Tweede Kamer;1901-04-19
Fokker;1;Woningwet 1901;Tweede Kamer;1901-04-19
Kolkman;1;Woningwet 1901;Tweede Kamer;1901-04-19
Heldt;1;Woningwet 1901;Tweede Kamer;1901-04-19
Kuyper;1;Woningwet 1901;Tweede Kamer;1901-04-19
Tydeman;1;Woningwet 1901;Tweede Kamer;1901-04-19
Groen van Waarder;1;Woningwet 1901;Tweede Kamer;1901-04-19
Veegens;1;Woningwet 1901;Tweede Kamer;1901-04-19
Tijdens;1;Woningwet 1901;Tweede Kamer;1901-04-19
Mackay;1;Woningwet 1901;Tweede Kamer;1901-04-19
Houwing;1;Woningwet 1901;Tweede Kamer;1901-04-19
Mutsaers;1;Woningwet 1901;Tweede Kamer;1901-04-19
Kool;1;Woningwet 1901;Tweede Kamer;1901-04-19
Troelstra;1;Woningwet 1901;Tweede Kamer;1901-04-19
van den Heuvel;1;Woningwet 1901;Tweede Kamer;1901-04-19
de Waal Malefijt;1;Woningwet 1901;Tweede Kamer;1901-04-19
Gleichman;1;Woningwet 1901;Tweede Kamer;1901-04-19
W.K.F.P. van Bylandt;0;Woningwet 1901;Tweede Kamer;1901-04-19
Schimmelpenninck;0;Woningwet 1901;Tweede Kamer;1901-04-19
de Savornin Lohman;0;Woningwet 1901;Tweede Kamer;1901-04-19
van Limburg Stirum;0;Woningwet 1901;Tweede Kamer;1901-04-19
van Sasse van Ysselt;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Fleskens;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Schimmelponninck;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Fruytier;1;Ziektewet 1913;Tweede Kamer;1913-04-25
J.W.J.C.M. van Nispen tot Sevenaer;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Ruys de Beerenbrouck;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Lennep;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Troelstra;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Bylandt;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Snoeck Henkemans;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Middelberg;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Helsdingen;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Loeff;1;Ziektewet 1913;Tweede Kamer;1913-04-25
de Vlugt;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van der Borch van Verwolde;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Passtoors;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Schaper;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Duijs;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Pollema;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Hugenholtz;1;Ziektewet 1913;Tweede Kamer;1913-04-25
ter Laan;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Koolen;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van der Molen;1;Ziektewet 1913;Tweede Kamer;1913-04-25
do Visser;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Oosterbaan;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van der Voort van Zijp;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Elhorst;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Duynstee;1;Ziektewet 1913;Tweede Kamer;1913-04-25
de Monté ver Loren;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Hoogstraten;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Nolens;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Vliet;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Veen;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Asch van Wijck;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Wijnbergen;1;Ziektewet 1913;Tweede Kamer;1913-04-25
de Ram;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Heemskerk;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Duymaer van Twist;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van den Berch van Heemstede;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Aalberse;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Lynden van Sandenburg;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Ankerman;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Rutgers;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Vuuren;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Brummelkamp;1;Ziektewet 1913;Tweede Kamer;1913-04-25
de Geer;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Best;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Vliegen;1;Ziektewet 1913;Tweede Kamer;1913-04-25
F.I.J. Janssen;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Beckers;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Scheurer;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Arts;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Vlijmen;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van Dedem;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Blum;1;Ziektewet 1913;Tweede Kamer;1913-04-25
van de Velde;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Bogaardt;1;Ziektewet 1913;Tweede Kamer;1913-04-25
O.F.A.M. van Nispen van Sevenaer;1;Ziektewet 1913;Tweede Kamer;1913-04-25
Eland;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Bichon van IJsselmonde;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Vorsterman van Oyen;0;Ziektewet 1913;Tweede Kamer;1913-04-25
van Hamel;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Dolk;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Teenstra;0;Ziektewet 1913;Tweede Kamer;1913-04-25
de Meester;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Roodhuyzen;0;Ziektewet 1913;Tweede Kamer;1913-04-25
de Beaufort;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Jansen;0;Ziektewet 1913;Tweede Kamer;1913-04-25
de Klerk;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Jannink;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Patijn;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Bos;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Drucker;0;Ziektewet 1913;Tweede Kamer;1913-04-25
de Kanter;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Limburg;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Smidt;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Marchant;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Thomson;0;Ziektewet 1913;Tweede Kamer;1913-04-25
Tydeman;0;Ziektewet 1913;Tweede Kamer;1913-04-25
de Savornin Lohman;0;Ziektewet 1913;Tweede Kamer;1913-04-25
