politician;vote;law;date;house
Dullert;1;Kieswet 1872;1874-06-19;Tweede Kamer
Moens;1;Kieswet 1872;1874-06-19;Tweede Kamer
de Bruyn Kops;1;Kieswet 1872;1874-06-19;Tweede Kamer
van Kerkwijk;1;Kieswet 1872;1874-06-19;Tweede Kamer
Mees;1;Kieswet 1872;1874-06-19;Tweede Kamer
de Jong;1;Kieswet 1872;1874-06-19;Tweede Kamer
Oldenhuis Gratatna;1;Kieswet 1872;1874-06-19;Tweede Kamer
Bredius;1;Kieswet 1872;1874-06-19;Tweede Kamer
Rombach;1;Kieswet 1872;1874-06-19;Tweede Kamer
Brouwer;1;Kieswet 1872;1874-06-19;Tweede Kamer
Lenting;1;Kieswet 1872;1874-06-19;Tweede Kamer
Dam;1;Kieswet 1872;1874-06-19;Tweede Kamer
Idzerda;1;Kieswet 1872;1874-06-19;Tweede Kamer
Gevers Deynoot;1;Kieswet 1872;1874-06-19;Tweede Kamer
Mirandolle;1;Kieswet 1872;1874-06-19;Tweede Kamer
van Akerlaken;1;Kieswet 1872;1874-06-19;Tweede Kamer
de Ruiter Zylker;1;Kieswet 1872;1874-06-19;Tweede Kamer
Schepel;1;Kieswet 1872;1874-06-19;Tweede Kamer
Wybenga;1;Kieswet 1872;1874-06-19;Tweede Kamer
Storm van 'sGravesande;1;Kieswet 1872;1874-06-19;Tweede Kamer
Godefroi;1;Kieswet 1872;1874-06-19;Tweede Kamer
Cremers;1;Kieswet 1872;1874-06-19;Tweede Kamer
van Houten;1;Kieswet 1872;1874-06-19;Tweede Kamer
Blusse van Oud-Alblas;1;Kieswet 1872;1874-06-19;Tweede Kamer
Rutgers van Rozenburg;1;Kieswet 1872;1874-06-19;Tweede Kamer
de Lange;1;Kieswet 1872;1874-06-19;Tweede Kamer
Teding van Berkhout;1;Kieswet 1872;1874-06-19;Tweede Kamer
Smidt;1;Kieswet 1872;1874-06-19;Tweede Kamer
Mackay;1;Kieswet 1872;1874-06-19;Tweede Kamer
Kappeyne van de Coppello;1;Kieswet 1872;1874-06-19;Tweede Kamer
Stieltjes;1;Kieswet 1872;1874-06-19;Tweede Kamer
Tak van Poortvliet;1;Kieswet 1872;1874-06-19;Tweede Kamer
van Zinnicq Bergmann;0;Kieswet 1872;1874-06-19;Tweede Kamer
Schimmelpenninck van Nijenhuis;0;Kieswet 1872;1874-06-19;Tweede Kamer
de Bieberstein Rogalla Zawadsky;0;Kieswet 1872;1874-06-19;Tweede Kamer
van Loon;0;Kieswet 1872;1874-06-19;Tweede Kamer
Heydenrijck;0;Kieswet 1872;1874-06-19;Tweede Kamer
Schimmelpenninck van der Oye;0;Kieswet 1872;1874-06-19;Tweede Kamer
Insinger;0;Kieswet 1872;1874-06-19;Tweede Kamer
Sandberg;0;Kieswet 1872;1874-06-19;Tweede Kamer
Kerens de Wyire;0;Kieswet 1872;1874-06-19;Tweede Kamer
van Kuyk;0;Kieswet 1872;1874-06-19;Tweede Kamer
Cremer van den Berch van Heemstede;0;Kieswet 1872;1874-06-19;Tweede Kamer
van den Heuvel;0;Kieswet 1872;1874-06-19;Tweede Kamer
Haffmans;0;Kieswet 1872;1874-06-19;Tweede Kamer
Hingst;0;Kieswet 1872;1874-06-19;Tweede Kamer
Bergsma;0;Kieswet 1872;1874-06-19;Tweede Kamer
Bichon van IJsselmonde;0;Kieswet 1872;1874-06-19;Tweede Kamer
van Baar;0;Kieswet 1872;1874-06-19;Tweede Kamer
Luyben;0;Kieswet 1872;1874-06-19;Tweede Kamer
C. van Nispen tot Sevenaer;0;Kieswet 1872;1874-06-19;Tweede Kamer
van Harinxma thoe Slooten;0;Kieswet 1872;1874-06-19;Tweede Kamer
Lambrechts;0;Kieswet 1872;1874-06-19;Tweede Kamer
van Naamen van Eemnes;0;Kieswet 1872;1874-06-19;Tweede Kamer
van Zuijlen van Nyevelt;0;Kieswet 1872;1874-06-19;Tweede Kamer
Wintgens;0;Kieswet 1872;1874-06-19;Tweede Kamer
Jonckbloet;0;Kieswet 1872;1874-06-19;Tweede Kamer
Begram;0;Kieswet 1872;1874-06-19;Tweede Kamer
van Eck;0;Kieswet 1872;1874-06-19;Tweede Kamer
de Roo van Alderwerelt;0;Kieswet 1872;1874-06-19;Tweede Kamer
Nierstrasz;0;Kieswet 1872;1874-06-19;Tweede Kamer
Kuiper;0;Kieswet 1872;1874-06-19;Tweede Kamer
Kien;0;Kieswet 1872;1874-06-19;Tweede Kamer
Smitz;0;Kieswet 1872;1874-06-19;Tweede Kamer
Arnoldts;0;Kieswet 1872;1874-06-19;Tweede Kamer
Saaymans Vader;0;Kieswet 1872;1874-06-19;Tweede Kamer
Fabius;0;Kieswet 1872;1874-06-19;Tweede Kamer
G.C.J. van Reenen;0;Kieswet 1872;1874-06-19;Tweede Kamer
Verheyen;0;Kieswet 1872;1874-06-19;Tweede Kamer
's Jacob;0;Kieswet 1872;1874-06-19;Tweede Kamer
Viruly Verbrugge;0;Kieswet 1872;1874-06-19;Tweede Kamer
Greeve;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Alphen;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Welderen Rengers;1;Kieswet 1887;1887-03-23;Tweede Kamer
Kielstra;1;Kieswet 1887;1887-03-23;Tweede Kamer
Willink;1;Kieswet 1887;1887-03-23;Tweede Kamer
Huber;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Osenbruggen;1;Kieswet 1887;1887-03-23;Tweede Kamer
Gildemeester;1;Kieswet 1887;1887-03-23;Tweede Kamer
Cremer;1;Kieswet 1887;1887-03-23;Tweede Kamer
Lieftinck;1;Kieswet 1887;1887-03-23;Tweede Kamer
J.E.N. Schimmelpenninck van der Oye;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Diggelen;1;Kieswet 1887;1887-03-23;Tweede Kamer
De Bruyn Kops;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Asch van Wijk;1;Kieswet 1887;1887-03-23;Tweede Kamer
W.K. baron van Dedem;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Berckel;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van den Biesen;1;Kieswet 1887;1887-03-23;Tweede Kamer
Clercx;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Wassenaer Catwijck;1;Kieswet 1887;1887-03-23;Tweede Kamer
Vos de Wael;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van der Linden;1;Kieswet 1887;1887-03-23;Tweede Kamer
Blussé van Oud Alblas;1;Kieswet 1887;1887-03-23;Tweede Kamer
Seret;1;Kieswet 1887;1887-03-23;Tweede Kamer
Visser van Hazerswoude;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Delden;1;Kieswet 1887;1887-03-23;Tweede Kamer
Goekoop;1;Kieswet 1887;1887-03-23;Tweede Kamer
De Ranitz;1;Kieswet 1887;1887-03-23;Tweede Kamer
Farncombe Sanders;1;Kieswet 1887;1887-03-23;Tweede Kamer
Viruly Verbrugge;1;Kieswet 1887;1887-03-23;Tweede Kamer
Rutgers van Rozenburg;1;Kieswet 1887;1887-03-23;Tweede Kamer
Goeman Borgesius;1;Kieswet 1887;1887-03-23;Tweede Kamer
Smeenge;1;Kieswet 1887;1887-03-23;Tweede Kamer
De Vos van Steenwijk;1;Kieswet 1887;1887-03-23;Tweede Kamer
A. baron van Dedem;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van der Kaay;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Kerkwijk;1;Kieswet 1887;1887-03-23;Tweede Kamer
Gleichman;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van der Goes van Dirxland;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van der Sleyden;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Houten;1;Kieswet 1887;1887-03-23;Tweede Kamer
De Beaufort;1;Kieswet 1887;1887-03-23;Tweede Kamer
Godin de Beaufort;1;Kieswet 1887;1887-03-23;Tweede Kamer
Hartogh;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Bylandt;1;Kieswet 1887;1887-03-23;Tweede Kamer
De Savornin Lohman;1;Kieswet 1887;1887-03-23;Tweede Kamer
Schaepman;1;Kieswet 1887;1887-03-23;Tweede Kamer
Smit;1;Kieswet 1887;1887-03-23;Tweede Kamer
Fabius;1;Kieswet 1887;1887-03-23;Tweede Kamer
Reekers;1;Kieswet 1887;1887-03-23;Tweede Kamer
Æ. baron Mackay;1;Kieswet 1887;1887-03-23;Tweede Kamer
De Ruiter-Zylker;1;Kieswet 1887;1887-03-23;Tweede Kamer
Kist;1;Kieswet 1887;1887-03-23;Tweede Kamer
De Meijier;1;Kieswet 1887;1887-03-23;Tweede Kamer
Verniers van der Loeff;1;Kieswet 1887;1887-03-23;Tweede Kamer
Mees;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Gennep;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van der Feltz;1;Kieswet 1887;1887-03-23;Tweede Kamer
Meesters;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van der Borch van Verwolde;1;Kieswet 1887;1887-03-23;Tweede Kamer
Schepel;1;Kieswet 1887;1887-03-23;Tweede Kamer
Buteux;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van Aylva van Pallandt;1;Kieswet 1887;1887-03-23;Tweede Kamer
Buma;1;Kieswet 1887;1887-03-23;Tweede Kamer
Th. Mackay;1;Kieswet 1887;1887-03-23;Tweede Kamer
Rooseboom;1;Kieswet 1887;1887-03-23;Tweede Kamer
Kolkman;1;Kieswet 1887;1887-03-23;Tweede Kamer
Zaaijer;1;Kieswet 1887;1887-03-23;Tweede Kamer
Cremers;1;Kieswet 1887;1887-03-23;Tweede Kamer
Van der Schrieck;0;Kieswet 1887;1887-03-23;Tweede Kamer
Smeele;0;Kieswet 1887;1887-03-23;Tweede Kamer
Borret;0;Kieswet 1887;1887-03-23;Tweede Kamer
Ruland;0;Kieswet 1887;1887-03-23;Tweede Kamer
Vermeulen;0;Kieswet 1887;1887-03-23;Tweede Kamer
Lambrechts;0;Kieswet 1887;1887-03-23;Tweede Kamer
A. Schimmelpenninck van der Oye;0;Kieswet 1887;1887-03-23;Tweede Kamer
Ruys van Beerenbroek;0;Kieswet 1887;1887-03-23;Tweede Kamer
Haffmans;0;Kieswet 1887;1887-03-23;Tweede Kamer
Heldt;0;Kieswet 1887;1887-03-23;Tweede Kamer
Keuchenius;0;Kieswet 1887;1887-03-23;Tweede Kamer
Brouwers;0;Kieswet 1887;1887-03-23;Tweede Kamer
Corver Hooft;0;Kieswet 1887;1887-03-23;Tweede Kamer
Lintelo baron de Geer van Jutphaas;0;Kieswet 1887;1887-03-23;Tweede Kamer
Reuther;0;Kieswet 1887;1887-03-23;Tweede Kamer
Donner;1;Kieswet 1892;1894-03-09;Tweede Kamer
Van Karnebeek;1;Kieswet 1892;1894-03-09;Tweede Kamer
Gerritsen;1;Kieswet 1892;1894-03-09;Tweede Kamer
E. Smidt;1;Kieswet 1892;1894-03-09;Tweede Kamer
Beelaerts van Blokland;1;Kieswet 1892;1894-03-09;Tweede Kamer
Haffmans;1;Kieswet 1892;1894-03-09;Tweede Kamer
van Beuningen;1;Kieswet 1892;1894-03-09;Tweede Kamer
Lucasse;1;Kieswet 1892;1894-03-09;Tweede Kamer
Rutgers van Rozenburg;1;Kieswet 1892;1894-03-09;Tweede Kamer
Bahlmann;1;Kieswet 1892;1894-03-09;Tweede Kamer
Rink;1;Kieswet 1892;1894-03-09;Tweede Kamer
W.A. Feltz;1;Kieswet 1892;1894-03-09;Tweede Kamer
Hartogh;1;Kieswet 1892;1894-03-09;Tweede Kamer
Houwing;1;Kieswet 1892;1894-03-09;Tweede Kamer
Pyttersen;1;Kieswet 1892;1894-03-09;Tweede Kamer
Ferf;1;Kieswet 1892;1894-03-09;Tweede Kamer
Veegens;1;Kieswet 1892;1894-03-09;Tweede Kamer
de Kanter;1;Kieswet 1892;1894-03-09;Tweede Kamer
Smeenge;1;Kieswet 1892;1894-03-09;Tweede Kamer
Kerkdijk;1;Kieswet 1892;1894-03-09;Tweede Kamer
Seret;1;Kieswet 1892;1894-03-09;Tweede Kamer
Levy;1;Kieswet 1892;1894-03-09;Tweede Kamer
Tydeman;1;Kieswet 1892;1894-03-09;Tweede Kamer
Vrolik;1;Kieswet 1892;1894-03-09;Tweede Kamer
Zijp;1;Kieswet 1892;1894-03-09;Tweede Kamer
Zijlma;1;Kieswet 1892;1894-03-09;Tweede Kamer
Valette;1;Kieswet 1892;1894-03-09;Tweede Kamer
Goeman Borgesius;1;Kieswet 1892;1894-03-09;Tweede Kamer
Cremer;1;Kieswet 1892;1894-03-09;Tweede Kamer
H.A. Velde;1;Kieswet 1892;1894-03-09;Tweede Kamer
Schepel;1;Kieswet 1892;1894-03-09;Tweede Kamer
Pijnacker Hordijk;1;Kieswet 1892;1894-03-09;Tweede Kamer
Farncombe Sanders;1;Kieswet 1892;1894-03-09;Tweede Kamer
Hennequin;1;Kieswet 1892;1894-03-09;Tweede Kamer
Heldt;1;Kieswet 1892;1894-03-09;Tweede Kamer
A. Smit;1;Kieswet 1892;1894-03-09;Tweede Kamer
Land;1;Kieswet 1892;1894-03-09;Tweede Kamer
Tijdens;1;Kieswet 1892;1894-03-09;Tweede Kamer
Lieftinck;1;Kieswet 1892;1894-03-09;Tweede Kamer
Roessingh;1;Kieswet 1892;1894-03-09;Tweede Kamer
van Kerkwijk;1;Kieswet 1892;1894-03-09;Tweede Kamer
van Gijn;0;Kieswet 1892;1894-03-09;Tweede Kamer
van Houten;0;Kieswet 1892;1894-03-09;Tweede Kamer
Geertsema;0;Kieswet 1892;1894-03-09;Tweede Kamer
Schimmelpenninck van der Oye;0;Kieswet 1892;1894-03-09;Tweede Kamer
Marchant et d'Ansembourg;0;Kieswet 1892;1894-03-09;Tweede Kamer
Guyot;0;Kieswet 1892;1894-03-09;Tweede Kamer
A. baron van Dedem;0;Kieswet 1892;1894-03-09;Tweede Kamer
van Alphen;0;Kieswet 1892;1894-03-09;Tweede Kamer
Bevers;0;Kieswet 1892;1894-03-09;Tweede Kamer
