indexnummer,re,dugobo,fogobo,duprbo,foprbo,dush,fosh,cash,misc,debt,ta11,tl11,nw11,ta0,tl0,nw0,w_deflated
00893,32054,2000,11427,21294,112928,7762,0,1364,5057,-2540,193891.48,-4301.48,189590,193891.48,-4301.48,189500,171135.2295306134
00894,26847,0,31227,6424,22331,4581,2760,220,3152,-552.97,100239.22,-552.97,99463.14,100239.72,-776.07,99463.64,99463.64
00895,28802,38437,40504,1885,11454,4520,5909,4682,2694,-2642.76,138591.63,-2642.76,135948.86,138591.63,-2605.71,135985.92,116140.98879785341
00901,422711,115516.5,340296,265512.5,224085,324345,240376,942.5,58948.5,0,2002279.14,0,2002279.14,2002254.14,0,2002254.14,1843483.2199247435
00903,30150,11807,15327,10469,0,0,0,3837,2448,-816.58,74001.95,-816.58,73785.37,74001.95,-816.58,73785.37,57638.59842472173
00906,127965,1141,762,12849,0,71015.35,0,0,12018,-96374.38,251803.2,-96374.38,155428.82,251832.53,-95474.71,156357.81,133539.93310238948
00917,240000,30150,41110.725,133119.7,72895.015,64083.65,1484.5,2000,12851.75,-1398.04,188847.0325,-579.045,187738.51,188847.03,-1108.52,187738.57,173921.01133027382
00920,492328.93,32276.87,40.2,163987.41,1350.58,21054,250,220.1,25180,-197886.71,314885.43,-172886.71,141998.72,314885.43,-172886.71,141998.72,72967.81679960717
00925,21000,5568,10483,223409,17152,143586,12307,688,37120,-10745.93,444538.43,-10745.93,215911.25,222269.21,-6357.96,215911.25,160407.75135566804
00930,37000,0,108600,4824,437245,12843,3887,143,30000,-8933.13,584511.39,-8933.13,575578,585511.39,-8933.13,575578.26,491581.98324464733
00931,0,0,0,0,0,0,0,0,1900,-150,1900,-150,1750,1900,-150,1750,1738.58956775
00939,210766,0,0,147730,0,123586,0,744,19509,-947,502338.29,-947.375,501390.915,501505.93,-947.375,500558.555,362823.4888592396
00940,5,21383,2616,19837,2647,25285.3,1305,507,8099,-2723.31,80113.66,-18043.65,62070.01,80113.66,-18043.65,62070.01,37159.74807547585
00941,168394,1957,16614,330820.05,0,3487,0,23119.5,8090,-110419.16,277785.29,-1220.31,276434.98,277785.29,-1220.31,276434.98,263019.04045839707
00947,0,0,0,1690,0,0,0,659,5768,-1373.57,6898.08,-1373.57,2762.25,4853.85,-974.79,3879.06,2867.4471079475516
00949,15000,0,285,909,4290,45029.78,26756,7362,183,-14179.64,99223.44,-14179.64,41663.94,49612.22,-7947.78,41664.44,32114.689879603764
00950,0,0,7050,105880.27,4274,1384.5,13350,0,0,-11204.785,157675.065,-3530.915,154144.15,157675.065,-3530.915,154144.15,113184.13433844762
00951,87531,221,1361,14630,1113,54022,0,310,10460,-19133,131852.91,-20163.35,72658.31,131858.11,-94189.65,37668.46,34597.14204622607
00953,0,1929.88,31780,3794,33271,7802,15465,1441,9138,-1431,104639,-2474,102165,104639,-2249,102390,79983.55355143246
00957,809301,1125,79137,24275,61773,215798,69166,2218,27817,-237751.91,1290523.39,-237751.91,1052771.48,1290523.39,-237751.91,1052771.48,942804.7336681745
00967,18000,11478,8188.75,50980,5235,52551.75,6565,0,8538,-13192.85,166302.47,-13192.85,153109.62,162964.92,-13192.85,159772.62,118700.46905583712
00968,100,0,9022,598,0,1225,0,203,4163,-6820.43,15312.43,-6820.43,8491.99,15312.43,-4411.66,10900.76,7503.614210870044
00971,770144.62,0,91646,451868,87066,209937,41497,5141,33832,-25978.12,1699131.2,-25978.12,1673153.14,1699131.26,-25978.12,1670344.72,1659453.6598504542
00973,262150.23,12165,26124,169806.1,67638.33,0,0,21627.03,30911.41,-1212.06,520244.07,-4011.31,485539.925,520244.07,-4011.31,516232.76,440896.9928375301
00975,401104.77,22189,27846,321770,48887,72113,25499,0,4553,-7101.89,1254632.6,-4758.24,1249874.36,1254632.6,-4758.24,1249874.36,846940.9626261698
00976,523339,0,196096,234570,75648,55283,860,8624,27530,-26549.22,747561.07,-27988.35,719572.72,747561.07,-27988.35,719572.72,644410.0923350278
00978,295413,6626,15977,74580,15557,198628,0,4630,21728,-241149.62,464133.4,-39639.74,424493.66,464133.4,-39639.74,424493.66,372999.5384694766
00979,0,0,0,0,0,0,0,0,2592.55,0,2592.55,-1277.13,1315.42,2592.55,-1277.13,1315.42,675.9450058300076
00981,0,0,0,478,0,0,0,7579,5365,-6747.44,13423.62,-6747.44,6676.18,73423.62,-6747.44,6676.18,4379.538558960293
00983,0,0,0,0,0,0,0,0,1612,-446,1612,-446,1166,1612,-446,1166,678.2984960133997
00986,4000,0,0,0,0,0,0,0,0,0,4000,0,4000,4000,0,4000,3474.000000981028
00992,231758,28001.25,464,54683.58,1545,11322.5,0,740.99,18629.45,-44000.765,221541.37,-21127.06,193870.24,221541.37,-21127.06,193870.24,87260.71147995774
00993,184584,8655,36075.22,15833.12,6887.35,10883.32,4392,1628.69,13750.97,-13506.51,255405.88,-7590.275,247924.405,255514.68,-7590.275,247924.405,181492.19938462405
00998,185145,14103,0,8150.84,1200,1656,0,564,1301,-10266,217140,-9174.64,129308,135712,-5734.15,129308,122938.1478070287
01003,14018,9063,431,11323,0,1339,0,600,4089,-890,12556,-263,5404,6351,-874,5477,3711.3295549990576
01007,0,7960,0,975,0,0,0,106,549,-441.55,9592.83,-441.55,4275.65,9592.83,-441.55,4275.54,2804.731490666698
01015,1002065,4500,17610,700,0,168882,2527,0,20085,0,872562.99,-1061.52,841500.44,872562.99,-1061.52,841500.44,785177.4089618847
01016,417396,0,0,2123,0,5950,0,895,33644,-61758.78,460009.47,-61758.78,398250.69,460009.37,-61758.78,398250.69,362027.1348254493
01018,0,219,102,296,0,0,0,900,2159.72,-577.63,3679.54,-577.63,3101.91,3679.54,-577.63,3101.91,3238.7699367711743
01020,0,0,0,2130,0,3422,85,3400,11032,-714,20070.01,-393.59,9323.305,10035.005,-711.7,9323.305,6926.597804667689
01022,62604,104,57268,526452,227590,305305,9415,2440,29831,-320554.86,722900.98,-6389.98,716511,722900.98,-6389.98,716511,665123.7748697738
01032,50,26373,23057,21543,251,175,0,5704,3160,-3317.78,415933.7,-29140.37,396793.27,415933.7,-29140.37,396793.27,338887.7519535377
01036,0,3970,0,0,0,0,0,0,0,0,3970,0,3970,3970,0,3970,2448.040944721083
01046,43635.29,0,0,0,0,0,0,0,5000,-43070.16,48635.29,-43070.16,1882.56,48635.29,-43070.16,1882.56,1018.2915642681928
01050,0,0,0,0,0,0,0,0,3603,-9934.4,3603,-9934.4,-6331.2,3603.2,-9934.37,-6331.17,-4024.763915582662
01055,12000,0,2777,59818.86,0,1256,0,8740,6846,-4280.95,91449,-4280.95,87168.04,91444.83,-4280.95,87163.87,79593.96605911414
01060,31444,0,5774,114703,4659,93513,3287,2128,6279,-3777.03,263700,-3777.03,129173.5,133050.21,-2676.73,130373.5,118082.57880148415
01062,329632.75,11230,167981.25,630712.69,0,693352,0,5308.27,74778.93,-917555.53,1780133.64,-920636.59,859497.05,1820133.64,-920636.59,899497.05,474069.5384139322
01065,538914,13529,0,199255.51,0,50452,0,1168.75,14527.41,-6414.47,803982.21,-6414.47,843083.59,849498.06,-6414.47,843083.59,820688.297113096
01066,206280,42942,92307,124666,26747,79370,33615,19065,20325,-3131,304420.1725,-1541.2175,302141.355,304420.17,-2278.815,302141.355,262383.52848407347
01067,171184,484821,128100,435359,97540,2227294,3622,12016,57644,-553864.78,3886829.8,-553864.78,1665482.51,1958020,-284512,1673508,1063859.3831533366
01068,428000,323269,307537,276133,283049,279452,12000,7514,36029,0,1927600.96,0,1927601.96,1927398.96,0,1927298.96,1759734.1754003214
01069,0,4414,1047,2882,0,806,2175,406,668,-2072.39,12403.95,-2072.39,10331.56,12540.75,-2072.39,10468.36,5517.228314590771
01070,149150,1555,5145,50223,2362,54373,0,100,33103,-70754.81,269133,-70754.81,198378.58,267148.39,-70732.2,196416.19,133095.71134331028
01074,455734.17,2001,97926,94112,0,5235,0,0,6582,-4380.42,690356.83,-4380.42,685976.4,690356.83,-9378.42,685978.4,497222.7002894377
01075,58000,19110,16238,27646.6,8718,69544,1700,5000,16775,-15243.58,222692.22,-15243.58,102624.57,111346.11,-8721.54,102624.57,46191.168863899526
01079,0,5062,0,33041,0,44497,0,612,630,-142655.82,83850.51,-142655.82,-58806,83850.31,-142655.82,-58805.51,-39847.84138393147
01080,42194,0,0,0,0,25,0,4204,2059,-29616.88,48484.16,-29616.88,18867.28,48484.16,-29616.88,18867.28,17892.80703241858
01081,79736,7669,87229,47130,11326,22297,7387,0,6870,-57710.47,169223.77,-13265.88,155957.88,169223.77,-13265.88,155957.88,144479.38010034637
01083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01085,0,0,0,2965,0,28320,1887,1703,3241,-616.87,37816.53,-616.87,17068.73,18908.26,-1839.53,17068.73,8353.314490232593
01087,28057,0,5000,1827,0,70838,0,32,9133,-16038.75,114889.01,-13442.845,101446.165,57444.505,-10100.76,47343.745,43948.31396987901
01091,129127,14179,1649,51320,0,7448,0,882,57151,-25805,261951,-27395,234556,261951,-27395,234556,120529.53179612223
01092,111010,45784,311214,34009,26787,49215,102,2041,13305,-6036.13,593477.22,-6036.13,587441.08,593586.26,-6016.13,587570.13,593377.5088815925
01093,0,15187,69221,119112,152893,52918,13367,1180,14607,-3903.55,438713.18,-3903.55,434809.63,458713.18,-3903.55,454809.63,432736.81382087973
01094,142019,0,35107,16658,0,218386,36459,2414,15013,-75376,423750.67,-62958.7,360791.97,423750.67,-62958.7,360791.97,328836.0018062353
01095,425256.93,75255,0,590163.04,3927.47,664167.2,34465.6,400,29961.61,-24947.09,1823596.85,-24947.09,1798649.76,1823596.85,-24947.09,1798649.76,1635050.5737159727
01101,21794,4006.68,4632,46151.5,15468,22127.5,1032,393,9946,-1250.95,116011.1,-1250.95,113903,116011.1,-2108.1,113902,78916.80861336445
01103,0,0,1291,11155,3661,4857,2358,696,2091,-888.25,26117.21,-888.25,11915.87,13081.1,-1143.73,11938.37,11325.477165741615
01106,0,2049,0,2405,0,15714,0,597,230,-14900,20998.13,-14900,6098.48,20496.12,-7905,12591.12,6636.004472181904
01107,162775,80833,61027.68,42694.59,2491,82705,27460,29114.86,0,-6049.98,505019.65,-6050,498960.65,499270.21,-342291.97,156978.24,115265.13464424742
01110,23675.75,0,0,0,0,41120,0,0,0,-72613,64795.8,-72613,-7817.3,64795.75,-72613,-7817.25,-7241.9004034258005
01118,153303.51,0,299630,38433.4,0,0,0,0,850,0,602945.26,-17734.11,583211.25,602945.26,-17734.11,583211.25,506518.9707680366
01120,3409,850,7527,8750,584,2705,0,850,1050,-700,25727.77,-700,25027.8,25727.77,-700,25027.77,18593.974640723205
01121,2383,53324,134259,45986,32008,908,36416,3178,6714,-974.66,318134.85,-974.66,317159.39,318134.05,-974.66,317159.39,300778.4780736591
01123,0,0,9461,0,0,0,0,1646,4133.5,-8023.86,15241.59,-8023.86,3608.86,8135.39,-4304.93,3830.46,2636.7238697273647
01124,136980.56,59985,12571,57077.45,288,150139.58,175,424,8458,-1242.12,426110.77,-1242.12,211688.53,213707.83,-1374.3,212333.55,130932.29832190965
01125,0,0,0,0,0,0,0,0,0,-8235.33,9153.95,-8235.33,918.62,9153.95,-8235.33,918.62,682.4737863321037
01130,0,21639,6952,58472,61344,75697,572,9559,17448,-4466.19,255654.03,-4466.19,251187.84,255654.03,-4466.19,251187.84,122929.5339279622
01135,1262437.01,82941.01,587706.87,383927.5,18000,268624.85,118019,2325.92,130374.86,-619075.73,3136813.9,-619075.7,2517738.19,3136813.92,-619075.73,2517738.19,2595128.9060938577
01137,227180,8651,110708,125728,0,57596,0,225,13476,-6250.69,482304.85,-6250.69,235383.56,238853.49,-3469.93,235383.56,237710.02529430974
01138,318552.28,11757,511,63136,6369,174655,109479,3518,8563,-223546.35,658313.97,-184903.35,472521.08,721971.3,-224456.2,497515.1,383481.52876459854
01142,25300,429,29166,209186,18637,11711,308,0,11427,-309036.99,299579.93,-309036.99,-9457.06,149789.965,-154518.495,-4728.53,-4499.045031778339
01143,108608,0,6030,62601,26362,0,61654,497,8076,-1685.33,275920.01,-1685.33,135972.63,137952.96,-1981.95,135971.01,132359.13731122174
01148,497152,11003,143154,198358,0,145724,0,17285,28227,-2761,936347.255,-3789.985,932557.27,936372.255,-3789.985,932582.27,844663.3662986878
01154,178280,40106,0,15469,0,9771,0,1713,17866,-4433.13,267798.44,-4433.13,263365.39,267798.44,-7433.13,260365.39,155874.1862611754
01158,461174,12310.75,7297,33468,9054,58395,5081,6228,35809,-4160.71,502194.2,-4160.71,339754.25,341157.37,-7580.21,340577.09,246862.96295410887
01168,104650,95000,133490,40937,115272,182960,10525,4161,11943,-882.67,692755.89,-882.67,691873.16,692755.84,-882.67,691873.16,631719.7642726973
01170,18000,0,10,1357,1045,11850,10915,0,2008,-27236.98,45189,-27236.98,7708.75,26098.03,-14389.68,11708.35,7219.778386681384
01173,54800,3947,18040,12520,747,7244,0,2801,7878,-975,88860.12,-975,87885.12,80868.12,-975.5,79892.62,74545.27340089857
01174,265110,0,0,31535.66,0,16191.9,0,350,11834.5,-226708.13,269122.14,-185681.57,83440.57,269122.14,-185681.57,83440.57,76637.19867252524
01177,16466,11005,19,49000,577,58904.8,2787,2570,8729,-8623.08,150267.52,-8623.08,141644.44,150331.52,-8623.08,141708.44,84837.26570317429
01189,4380.53,0,0,0,0,0,0,0,0,-520.23,4380.53,-520.23,3860.18,4380.53,-520.23,3860.3,2867.9470917003987
01191,12200,915,6462,7856,2487,13829,0,430,2067,-29504,20722.54,-594,20128.53,20722.54,-594,20128.53,18647.070200821046
01199,11688,19737,3791,77706,766,78249,7256,1414,777,-21529.72,223239.89,-21529.72,201710.17,223269.39,-21529.72,201740.17,120776.74699752218
01202,332464,857,7426,9885,0,7136,0,1721,30165,-337143.62,389660.48,-337143.62,52516.85,389660.48,-337143.62,52516.85,53035.91186180322
01203,1632056.6,53987,15102,6640,0,343068.4,0,36341,38254,-21784.73,2125454.42,-21784.73,2103669.7,2125510.43,-21784.73,2103725.7,1337351.4351445115
01206,534634,65845,19054,169952,5712,30816,0,5151,31327,-3970.36,863310.89,-3970.36,859340.53,863310.89,-3970.36,859340.53,815223.6486313706
01216,1335093.5,77878,20530,162304,10240,3588680,15926,8375,63963,-1566452.02,5285740.9,-1566452.02,3673845.88,5285740.9,-1566452.02,3735174.77,2374473.696440116
01220,39680,172467,64229,162246,39449,44384,170,348,9280,-8122.07,532699.88,-8122.07,523290.93,528759.94,-9408.95,519350.99,415909.08704432816
01228,52602.41,177.6,0,15680.81,0,6112.35,0,2607.6,24574.94,-107549.7,17519.5,21825.43,4305.93,17559.35,-19324.35,-1765,-1679.3410385656362
01229,0,8602,10229,12665,8320,1,2037,717,1266,-13173.1,43843.44,-13173.1,30670.34,43841.44,-13173.1,30668.34,32858.93569860863
01233,229017,12424,159024,204788,50295,162678,29167,6533,15420,-5119.34,869136.91,-5119.34,864017.56,868176.91,-5119.34,863057.57,818481.6549008702
01238,0,0,1197,2510,1760,3110,0,598,2487,-1903.5,11777.11,-1903.5,4436.6,5888.56,-1451.95,4436.6,3955.638129700691
01242,0,0,310,3024,4606,0,0,521,1369,-732,9887.23,-732,9154.86,9887.23,-732.37,9154.86,8481.06230801199
01246,264426,34613,36212,68956,27401,93161,798,1123,26938,-283078.94,553637,-283078.94,270558.13,553637.07,-283078.94,270558.13,244337.87693363344
01252,522201,37851,38137,277662,5053,72980,0,6720,16000,-66603.11,591020.52,-1448.53,589971.99,591020.52,-1448.53,589971.99,559683.9686801581
01253,0,0,11574,17280,19298,31670,920,628,5669,-2194.39,94738.4,-2194.39,92544.01,95934.59,-2194.39,93740.2,81405.22318370732
01256,22000,39884,2007,9920,0,78814,0,1330,6278,1344.82,142011.36,-1420.89,140590.47,142011.36,-1420.89,140590.47,81785.85279143824
01257,99715,101174.01,112177.55,70025.76,28934.825,54043.5,315,4447.45,43025.6,-540.04,541202.35,-1128.58,540073.76,541600.44,-1128.585,540471.855,396854.756034984
01259,183470,880,27578,38497,2400,17150,22713,706,18746,-8557.27,312145.5,-8557.27,303587.73,312145,-8557.27,303587.73,288159.5010919569
01260,161029,5798,42597,234,28393,200,20748,2574,11614,-9177,249155.69,-8790.56,240365.13,249140.585,-8790.56,240349.575,205274.46736870866
01263,103292,138598,0,64732,0,234361,0,0,3695,-9277.55,508118.41,-9277.55,498880.86,508118.41,-9277.55,490840.86,293854.0319672884
01266,26000,10604,52189,84853,38118,25496,0,5666,7504,-532.43,252438.85,-532.43,251906.42,252480.85,-532.43,251948.42,257099.2864332203
01268,0,0,7728,615,0,0,0,400,321,-3104.32,11115.87,-3104.32,3465.77,5557.93,-1992.11,3565.77,3327.107053626757
01271,64000,94318,8352,95785,13866,111387,10528,1048,11016,-10314.42,407821.29,-10314.42,197995.34,203910.65,-5915.3,197995.34,118534.81181198757
01272,71374,33142,7795,127333,31458,136869,80044,565,5182,-34327.71,487474.04,-34327.71,453146.33,487336.04,-34327.71,453008.33,306967.9028281479
01273,15000,0,2,37604,667,97395,0,12808,5135,-30288.01,175815.11,-30288.01,145527.1,175815.11,-30288.01,145527.1,108116.99173861956
01274,270280,0,57368,11947,19950,1600,0,1767,6080,-29709.98,369035.27,-29709.98,339315.29,369825.29,-29709.98,339315.31,322847.6629442611
01277,258154,0,0,93568,0,27140,0,4730,14074,-6190.57,397335.46,-6190.57,192227.15,199409.32,-6460.57,192948.75,183143.15778281528
01279,563545.81,72549.5,156086.94,187174.24,426374.625,124690,80950.24,5748.66,49713.96,-230187.44,854700.38,-8869.77,313367.62,1102838.92,-7278.385,1095560.535,1117958.3177893993
01280,560000,65118,285298,132295,460713,207049,79276,14443,58538,-19564,163059.81,-8718.76,154341.05,447470.775,-10536.35,436932.425,445865.1286125808
01281,220888,866,33010,107737,7115,4240,0,288,14296,-12252,348427.485,-12270.515,336756.97,174973.505,-7184.085,167789.42,179774.37848565777
01282,0,0,0,4593,0,0,0,0,0,0,4593,0,4593,4593,0,4593,2671.8910839687105
01283,34312,28800,130,17340,0,4362,0,178,9435,-37933.88,86386.81,-37933.88,48452.93,86356.81,-37933.88,48452.93,24898.143597733768
01288,0,997,7593,22980,0,3305,0,200,1983,-473.885,37059.49,-473.85,17302.82,19029.74,-1026.42,18002.82,12199.08671523245
01291,0,0,0,1400,0,2720,0,430,100,-894,4650,-894,3756,4650,-894,3756,1838.159559927049
01292,0,0,0,0,0,0,0,0,0,-2002.69,4565.08,-2002.69,2562.39,4565.08,-2002.69,2562.39,1903.6859695625167
01303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01305,30000,13988,0,20093,0,178098,0,100,4948,-20236.3,247651.88,-20236.3,113692.67,133825.94,-10608.27,123217.67,55460.0930555543
01311,303555,867,10036,12022,236,8770,0,1334,18642.58,-159700.64,352045.67,-159700.64,170645.03,352845.667,-159700.64,193148.03,141823.69278838355
01313,481457,0,0,54569,0,280192,0,0,12111,-44376.71,599935,-44376.71,555558.9,599935.61,-44376.71,555558.9,580070.8155380599
01314,60000,659,5851,643601,206,173757,10,100,21861,-430808.78,894195.98,-430808.78,457523.92,998270.02,-440408.18,557861.84,343997.13496661
01316,84846,159586,143749,168194,0,34675,0,545,17435,-980.18,539754.3,-980.18,538774.18,539754.3,-980.18,538774.18,395608.1964006222
01318,334913,107,4595,235227,923,45334,246,563,11331,-203873.95,355071.06,-3381.72,351689.33,355071.06,-3381.72,351689.33,358879.312635409
01320,528439,38964,20813,25564,18793,1083719,160312,5670,25657,-94213.21,1907962.58,-94213.21,1813749.37,1907962.38,-94663.21,1813299.37,1347161.2733303593
01322,0,0,0,2050,0,0,0,0,1445,-56176.6,3495,-57176.6,-53681.6,1445.62,-56176.6,-54730.98,-42186.29722388675
01324,32500,0,0,0,0,0,0,0,0,-122805.94,97133.04,-122805.94,-25672.9,97133.04,-122805.94,-25672.9,-15830.808657362695
01330,32387,44867,186078.25,50288,98524,518313.77,166560,0,21396,-11465.59,1102875.93,-11465.59,1089941.13,1103795.74,-11931.03,1091864.71,673281.9939989953
01331,25500,0,5112,40000,0,420,0,4723,13489,-9120.85,89246.49,-9120.85,80125.64,89246.49,-9120.85,80125.64,74762.69698279985
01334,0,0,0,3342,0,3135,0,271,3155,-5471.67,10596.45,-5471.67,4766.43,10708.95,-5830.02,4878.93,4642.145820560362
01339,1242441.15,26287,66656,52449,18325,97607,5,4215,39269,-24413.13,1539805.26,-24413.13,1515392.13,1539800.28,-24413.13,1515387.13,1368528.3605292214
01340,0,0,44,50881,0,5881,0,492,3817,-4283.93,61148.85,-4283.93,27389.84,30472.99,-3083.15,27389.84,20348.836127767918
01342,205100,75684,103864,51081,23013,80565,12488,1071,11096,-2329.95,572994.65,-2329.95,570665.51,540763.4,-2329.14,568434.26,539251.9440974967
01353,746816,17899,165967,1115637,276164,635795.22,262444,11918,428555,-36071.67,3675926.21,-36071.67,3639854.54,3645494.95,-36070.67,3639423.28,2664227.168675881
01357,251484,2760,5558,17753,0,100,0,2959,13202,-34185.02,293906.3,-34185.02,25921.28,293906.3,-34185.02,283661.52,207653.43026873664
